date,lat,lon,soil_moisture_l1,soil_moisture_l2
2010-01-01,30.25,79.0,0.25606918,0.31969833
2010-01-01,30.25,79.25,0.24043655,0.3168335
2010-01-01,30.25,79.5,0.31316122,0.31572214
2010-01-01,30.25,79.75,0.3616085,0.3595295
2010-01-01,30.25,80.0,0.42738914,0.4193325
2010-01-01,30.5,79.0,0.2448972,0.29781595
2010-01-01,30.5,79.25,0.3184217,0.3281797
2010-01-01,30.5,79.5,0.33448368,0.32993147
2010-01-01,30.5,79.75,0.27287546,0.26414362
2010-01-01,30.5,80.0,0.27625528,0.2725118
2010-01-01,30.75,79.0,0.40889168,0.3715248
2010-01-01,30.75,79.25,0.4008026,0.3817501
2010-01-01,30.75,79.5,0.3437856,0.3438619
2010-01-01,30.75,79.75,0.4481182,0.4478817
2010-01-01,30.75,80.0,0.239748,0.2483406
2010-01-01,31.0,79.0,0.31014252,0.29566383
2010-01-01,31.0,79.25,0.33290863,0.33304596
2010-01-01,31.0,79.5,0.26937866,0.29064688
2010-01-01,31.0,79.75,0.23988724,0.2772789
2010-01-01,31.0,80.0,0.21786308,0.26669502
2010-01-02,30.25,79.0,0.2540493,0.31900024
2010-01-02,30.25,79.25,0.23662949,0.3162384
2010-01-02,30.25,79.5,0.31370163,0.31599936
2010-01-02,30.25,79.75,0.36719513,0.36031532
2010-01-02,30.25,80.0,0.43052483,0.41983414
2010-01-02,30.5,79.0,0.24314626,0.29718652
2010-01-02,30.5,79.25,0.31656393,0.32771936
2010-01-02,30.5,79.5,0.334699,0.33013833
2010-01-02,30.5,79.75,0.27466837,0.2643064
2010-01-02,30.5,80.0,0.27622223,0.27239355
2010-01-02,30.75,79.0,0.41088867,0.37155533
2010-01-02,30.75,79.25,0.40073776,0.38165474
2010-01-02,30.75,79.5,0.3436165,0.3436521
2010-01-02,30.75,79.75,0.44807625,0.44781876
2010-01-02,30.75,80.0,0.23970604,0.24827957
2010-01-02,31.0,79.0,0.3101387,0.29563522
2010-01-02,31.0,79.25,0.33290863,0.33304596
2010-01-02,31.0,79.5,0.26937866,0.29063797
2010-01-02,31.0,79.75,0.23988724,0.27728462
2010-01-02,31.0,80.0,0.2178688,0.2667904
2010-01-03,30.25,79.0,0.28149605,0.31866074
2010-01-03,30.25,79.25,0.2706623,0.3160019
2010-01-03,30.25,79.5,0.33639273,0.3166758
2010-01-03,30.25,79.75,0.36924934,0.36137962
2010-01-03,30.25,80.0,0.43100166,0.4205513
2010-01-03,30.5,79.0,0.26179376,0.2969462
2010-01-03,30.5,79.25,0.3342018,0.32752863
2010-01-03,30.5,79.5,0.34323967,0.33061048
2010-01-03,30.5,79.75,0.27464166,0.26453653
2010-01-03,30.5,80.0,0.27619043,0.27227655
2010-01-03,30.75,79.0,0.4131565,0.3717556
2010-01-03,30.75,79.25,0.4006729,0.3815651
2010-01-03,30.75,79.5,0.34345374,0.34345627
2010-01-03,30.75,79.75,0.4480381,0.44776917
2010-01-03,30.75,80.0,0.23966599,0.24821854
2010-01-03,31.0,79.0,0.3101349,0.29561234
2010-01-03,31.0,79.25,0.33290863,0.33304596
2010-01-03,31.0,79.5,0.26937866,0.29062906
2010-01-03,31.0,79.75,0.23988724,0.27728844
2010-01-03,31.0,80.0,0.2178688,0.26688194
2010-01-04,30.25,79.0,0.379961,0.31975365
2010-01-04,30.25,79.25,0.3999462,0.32266808
2010-01-04,30.25,79.5,0.4131546,0.3291308
2010-01-04,30.25,79.75,0.37238693,0.36264038
2010-01-04,30.25,80.0,0.42918777,0.42084122
2010-01-04,30.5,79.0,0.3444214,0.30153656
2010-01-04,30.5,79.25,0.4041481,0.33979797
2010-01-04,30.5,79.5,0.37765333,0.3396742
2010-01-04,30.5,79.75,0.27342224,0.2645429
2010-01-04,30.5,80.0,0.27615738,0.27216974
2010-01-04,30.75,79.0,0.41519928,0.3725357
2010-01-04,30.75,79.25,0.40059853,0.38148117
2010-01-04,30.75,79.5,0.34329352,0.34326553
2010-01-04,30.75,79.75,0.44800186,0.44771004
2010-01-04,30.75,80.0,0.23963165,0.2481556
2010-01-04,31.0,79.0,0.31013298,0.29558754
2010-01-04,31.0,79.25,0.33290863,0.33304596
2010-01-04,31.0,79.5,0.26937866,0.29062018
2010-01-04,31.0,79.75,0.23988724,0.27729225
2010-01-04,31.0,80.0,0.21787643,0.2669716
2010-01-05,30.25,79.0,0.36867905,0.32090187
2010-01-05,30.25,79.25,0.3789673,0.32840157
2010-01-05,30.25,79.5,0.39448038,0.34052277
2010-01-05,30.25,79.75,0.37740898,0.3647766
2010-01-05,30.25,80.0,0.42780113,0.4209423
2010-01-05,30.5,79.0,0.33889642,0.3076172
2010-01-05,30.5,79.25,0.39144897,0.3500379
2010-01-05,30.5,79.5,0.37070212,0.347936
2010-01-05,30.5,79.75,0.2721227,0.26447168
2010-01-05,30.5,80.0,0.27611032,0.27207184
2010-01-05,30.75,79.0,0.41377258,0.3728962
2010-01-05,30.75,79.25,0.4005127,0.38140488
2010-01-05,30.75,79.5,0.34311295,0.34309006
2010-01-05,30.75,79.75,0.4479561,0.44765854
2010-01-05,30.75,80.0,0.2395916,0.24809456
2010-01-05,31.0,79.0,0.31012344,0.29556465
2010-01-05,31.0,79.25,0.33290863,0.33304596
2010-01-05,31.0,79.5,0.26937613,0.29061127
2010-01-05,31.0,79.75,0.23989105,0.27729607
2010-01-05,31.0,80.0,0.2178917,0.26705742
2010-01-06,30.25,79.0,0.35787964,0.32131767
2010-01-06,30.25,79.25,0.3634014,0.3300953
2010-01-06,30.25,79.5,0.38658905,0.34558234
2010-01-06,30.25,79.75,0.38393402,0.36758995
2010-01-06,30.25,80.0,0.42783737,0.4209385
2010-01-06,30.5,79.0,0.33154806,0.3109932
2010-01-06,30.5,79.25,0.3843409,0.35413742
2010-01-06,30.5,79.5,0.36947462,0.3520347
2010-01-06,30.5,79.75,0.27184296,0.26436234
2010-01-06,30.5,80.0,0.27605948,0.27197775
2010-01-06,30.75,79.0,0.41449738,0.37320137
2010-01-06,30.75,79.25,0.40041924,0.3813362
2010-01-06,30.75,79.5,0.34293237,0.3429184
2010-01-06,30.75,79.75,0.44791603,0.44761086
2010-01-06,30.75,80.0,0.23955345,0.24803543
2010-01-06,31.0,79.0,0.31011772,0.29554176
2010-01-06,31.0,79.25,0.33290863,0.33304596
2010-01-06,31.0,79.5,0.26937613,0.29060617
2010-01-06,31.0,79.75,0.23989105,0.27729988
2010-01-06,31.0,80.0,0.21790886,0.26713753
2010-01-07,30.25,79.0,0.34856415,0.32139015
2010-01-07,30.25,79.25,0.3510971,0.33058357
2010-01-07,30.25,79.5,0.38012695,0.34832382
2010-01-07,30.25,79.75,0.389225,0.37052536
2010-01-07,30.25,80.0,0.42811012,0.420969
2010-01-07,30.5,79.0,0.32399368,0.31269836
2010-01-07,30.5,79.25,0.37807083,0.35580063
2010-01-07,30.5,79.5,0.36793095,0.35441673
2010-01-07,30.5,79.75,0.2719129,0.2643458
2010-01-07,30.5,80.0,0.27600607,0.27188239
2010-01-07,30.75,79.0,0.41560745,0.3736763
2010-01-07,30.75,79.25,0.4003296,0.38126564
2010-01-07,30.75,79.5,0.34275183,0.34275308
2010-01-07,30.75,79.75,0.44787598,0.44755936
2010-01-07,30.75,80.0,0.23951149,0.24798012
2010-01-07,31.0,79.0,0.310112,0.29552078
2010-01-07,31.0,79.25,0.33290863,0.33304596
2010-01-07,31.0,79.5,0.26937613,0.29059854
2010-01-07,31.0,79.75,0.23989487,0.2773037
2010-01-07,31.0,80.0,0.21792603,0.26721382
2010-01-08,30.25,79.0,0.3443432,0.32132912
2010-01-08,30.25,79.25,0.34355164,0.3305664
2010-01-08,30.25,79.5,0.3750483,0.349617
2010-01-08,30.25,79.75,0.39172745,0.373106
2010-01-08,30.25,80.0,0.4274063,0.4209671
2010-01-08,30.5,79.0,0.31817245,0.31340918
2010-01-08,30.5,79.25,0.3732058,0.35609308
2010-01-08,30.5,79.5,0.36642203,0.35531363
2010-01-08,30.5,79.75,0.2717476,0.2643598
2010-01-08,30.5,80.0,0.27595392,0.27179465
2010-01-08,30.75,79.0,0.41853905,0.37451935
2010-01-08,30.75,79.25,0.40023804,0.3812008
2010-01-08,30.75,79.5,0.34258142,0.34258524
2010-01-08,30.75,79.75,0.44783592,0.44751167
2010-01-08,30.75,80.0,0.23947906,0.2479229
2010-01-08,31.0,79.0,0.3101101,0.2954979
2010-01-08,31.0,79.25,0.33290863,0.33304596
2010-01-08,31.0,79.5,0.26937613,0.29058838
2010-01-08,31.0,79.75,0.23989677,0.2773075
2010-01-08,31.0,80.0,0.217947,0.26729393
2010-01-09,30.25,79.0,0.33991623,0.32118607
2010-01-09,30.25,79.25,0.33581734,0.33026505
2010-01-09,30.25,79.5,0.36865363,0.35000864
2010-01-09,30.25,79.75,0.39078903,0.3750763
2010-01-09,30.25,80.0,0.42668533,0.42088127
2010-01-09,30.5,79.0,0.3121643,0.3135096
2010-01-09,30.5,79.25,0.36823145,0.35570908
2010-01-09,30.5,79.5,0.36424002,0.35541704
2010-01-09,30.5,79.75,0.27161154,0.26436615
2010-01-09,30.5,80.0,0.2759107,0.2717069
2010-01-09,30.75,79.0,0.41986275,0.376009
2010-01-09,30.75,79.25,0.4001503,0.38113594
2010-01-09,30.75,79.5,0.3424263,0.34242502
2010-01-09,30.75,79.75,0.44779968,0.44745636
2010-01-09,30.75,80.0,0.2394352,0.24786377
2010-01-09,31.0,79.0,0.31010818,0.2954769
2010-01-09,31.0,79.25,0.33290863,0.33304596
2010-01-09,31.0,79.5,0.26937613,0.29058075
2010-01-09,31.0,79.75,0.23989868,0.27731133
2010-01-09,31.0,80.0,0.21796417,0.26736832
2010-01-10,30.25,79.0,0.33205032,0.32089424
2010-01-10,30.25,79.25,0.3258114,0.32971382
2010-01-10,30.25,79.5,0.36153284,0.34954324
2010-01-10,30.25,79.75,0.3895588,0.3760147
2010-01-10,30.25,80.0,0.42638397,0.42074013
2010-01-10,30.5,79.0,0.3052597,0.31302133
2010-01-10,30.5,79.25,0.36305365,0.35476556
2010-01-10,30.5,79.5,0.36187828,0.35485923
2010-01-10,30.5,79.75,0.27156067,0.264356
2010-01-10,30.5,80.0,0.27586746,0.27161917
2010-01-10,30.75,79.0,0.42025566,0.377079
2010-01-10,30.75,79.25,0.40006638,0.3810711
2010-01-10,30.75,79.5,0.34227753,0.34226355
2010-01-10,30.75,79.75,0.44776344,0.4474125
2010-01-10,30.75,80.0,0.23939705,0.24780655
2010-01-10,31.0,79.0,0.31010437,0.29545403
2010-01-10,31.0,79.25,0.33290863,0.33304596
2010-01-10,31.0,79.5,0.26937613,0.29057565
2010-01-10,31.0,79.75,0.23990059,0.27731323
2010-01-10,31.0,80.0,0.21798134,0.2674408
2010-01-11,30.25,79.0,0.32481956,0.32051468
2010-01-11,30.25,79.25,0.31676102,0.32901955
2010-01-11,30.25,79.5,0.35539627,0.34866843
