uei,event_date,cause,is_flood,fatalities,scenes_in_window,rel_orbit,pre_acquired,pre_gap_days,pre_scene,pre_scene_id,post_acquired,post_gap_days,post_scene,post_scene_id,pol_mismatch,verdict
UEI-IMD-FL-2016-0126,2016-05-08,landslide,False,,30,129,2016-04-18,19,S1A_IW_GRDH_1SSV_20160418T124721_20160418T124746_010876_010499_167F.SAFE,d7d758b3-fa68-5f1e-8120-351e32fb16cd,2016-05-12,4,S1A_IW_GRDH_1SSV_20160512T124700_20160512T124725_011226_010F9D_FA84_COG.SAFE,fb63e4c4-4994-4b8c-a95d-1afa51878fa9,False,MARGINAL (non-flood cause)
UEI-IMD-FL-2016-0129,2016-07-03,cloud burst,True,20,20,129,2016-06-29,3,S1A_IW_GRDH_1SSV_20160629T124728_20160629T124753_011926_0125F1_2E4D.SAFE,dceff0ea-31d7-5c83-bdbb-2dc825ec0220,2016-07-23,20,S1A_IW_GRDH_1SSV_20160723T124704_20160723T124729_012276_01315E_E7BC_COG.SAFE,b9d0cb51-a4f8-4dcd-9f64-59ff5cad071f,False,LIKELY TOO LATE
UEI-IMD-FL-2017-0120,2017-05-20,Landslide,False,13,80,165,2017-05-10,9,S1A_IW_GRDH_1SDV_20170510T003507_20170510T003532_016512_01B5EC_A559_COG.SAFE,8cdd9985-deeb-43d7-869c-c5363b957cd0,2017-05-22,2,S1A_IW_GRDH_1SDV_20170522T003442_20170522T003507_016687_01BB45_BF59_COG.SAFE,a1c8ba78-c443-402a-8674-05e7c21bb9ac,False,GOOD (non-flood cause)
UEI-IMD-FL-2019-0147,2019-02-06,Flash floods,True,1,58,56,2019-01-28,8,S1A_IW_GRDH_1SDV_20190128T123927_20190128T123952_025678_02DA3D_9572.SAFE,b8f5d327-6dd0-54a5-b11f-aa3ed5e38b96,2019-02-09,3,S1A_IW_GRDH_1SDV_20190209T123902_20190209T123927_025853_02E088_3DC1.SAFE,8c13ba3d-da9f-5a49-a3de-729ded4a301f,False,GOOD
UEI-IMD-FL-2019-0151,2019-06-08,Heavy rains & flash flood as a result of cloud burst,True,,56,56,2019-05-28,10,S1A_IW_GRDH_1SDV_20190528T123929_20190528T123954_027428_03181D_FE03.SAFE,a750106e-3c22-5382-b07e-c65d416d89d4,2019-06-09,1,S1A_IW_GRDH_1SDV_20190609T123905_20190609T123930_027603_031D81_7284_COG.SAFE,44fe52b1-e638-4306-913d-bd25b97a27b4,False,GOOD
UEI-IMD-FL-2019-0156,2019-06-09,Heavy rains & flash flood as a result of cloud burst,True,1,56,56,2019-05-28,11,S1A_IW_GRDH_1SDV_20190528T123929_20190528T123954_027428_03181D_FE03.SAFE,a750106e-3c22-5382-b07e-c65d416d89d4,2019-06-09,0,S1A_IW_GRDH_1SDV_20190609T123905_20190609T123930_027603_031D81_7284_COG.SAFE,44fe52b1-e638-4306-913d-bd25b97a27b4,False,GOOD
UEI-IMD-FL-2019-0152,2019-08-08,"Heavy rains, flash flood as a result of cloud burst",True,5,78,56,2019-07-27,11,S1A_IW_GRDH_1SDV_20190727T123933_20190727T123958_028303_0332A2_F755.SAFE,b042a529-1b58-5e65-a1a7-f7b1f5d04440,2019-08-08,0,S1A_IW_GRDH_1SDV_20190808T123909_20190808T123934_028478_0337FE_6A7B_COG.SAFE,9da983dc-797c-4458-b67a-323b310cba60,False,GOOD
UEI-IMD-FL-2019-0153,2019-12-08,"Heavy rains, flash floods & Landslide",True,6,104,165,2019-12-02,5,S1A_IW_GRDH_1SDV_20191202T003527_20191202T003552_030162_037260_1F18_COG.SAFE,5198b0ef-64ff-4f63-b96b-111eac6926c2,2019-12-08,0,S1B_IW_GRDH_1SDV_20191208T003420_20191208T003449_019266_024600_3147.SAFE,22544c98-a320-59ce-b9c4-79f7c66a188a,False,GOOD
UEI-IMD-FL-2020-0140,2020-08-25,Heavy Rains & Cloud Burst,True,1,76,56,2020-08-14,10,S1A_IW_GRDH_1SDV_20200814T123941_20200814T124006_033903_03EEA9_3F8A_COG.SAFE,6a1587d3-b750-453e-86f6-78c576c23db9,2020-08-26,1,S1A_IW_GRDH_1SDV_20200826T123916_20200826T123941_034078_03F4DA_83E3_COG.SAFE,6b60ab39-4403-46e1-9715-37a20d6f1c4e,False,GOOD
UEI-IMD-FL-2021-0306,2021-02-07,Nandadevi Glacier breaks off at Joshimath,True,70,90,56,2021-01-29,8,S1A_IW_GRDH_1SDV_20210129T123939_20210129T124004_036353_044409_11A8_COG.SAFE,9fb93272-a84b-4520-b91a-fc085e8ec37c,2021-02-10,3,S1A_IW_GRDH_1SDV_20210210T123914_20210210T123939_036528_044A1E_E044.SAFE,8272b2fb-03f2-5081-907c-3428144b1ea3,False,GOOD
UEI-IMD-FL-2021-0309,2021-07-11,Landslide,False,3,80,165,2021-06-30,10,S1A_IW_GRDH_1SDV_20210630T003539_20210630T003604_038562_048CE9_C813.SAFE,a2df6212-4852-5740-808f-c5b6dbffeb35,2021-07-12,1,S1A_IW_GRDH_1SDV_20210712T003515_20210712T003540_038737_049231_5D77_COG.SAFE,56571989-c1eb-475f-9433-8165cc778103,False,GOOD (non-flood cause)
UEI-IMD-FL-2021-0312,2021-10-16,"Heavy Rain, Landslides & Floods",True,52,84,165,2021-10-04,11,S1A_IW_GRDH_1SDV_20211004T003544_20211004T003609_039962_04BAC8_DE8E.SAFE,5ec1bb06-ddfc-5338-9867-7031bd7bd73c,2021-10-16,0,S1A_IW_GRDH_1SDV_20211016T003519_20211016T003544_040137_04C0D4_929D.SAFE,222e3e2d-00ba-5106-94c3-ad6766aff374,False,GOOD
UEI-IMD-FL-2023-0581,2023-07-16,Heavy rains & Floods,True,5,80,56,2023-07-06,9,S1A_IW_GRDH_1SDV_20230706T123955_20230706T124020_049303_05EDB2_11A6_COG.SAFE,8500285f-6b0d-4531-a594-81ff8cf26afd,2023-07-18,2,S1A_IW_GRDH_1SDV_20230718T123931_20230718T123956_049478_05F315_23FC.SAFE,24d2c9b5-0df2-4918-a54b-07f2cb09e864,False,GOOD
UEI-IMD-FL-2023-0592,2023-08-15,Heavy Rains,True,,80,129,2023-08-04,10,S1A_IW_GRDH_1SDV_20230804T124806_20230804T124831_049726_05FAC0_9F53_COG.SAFE,308e8fae-2cbd-4d6d-b80b-0f894a7c740a,2023-08-16,1,S1A_IW_GRDH_1SDV_20230816T124741_20230816T124806_049901_06009F_11E5.SAFE,b32dc206-36aa-440b-9408-8b6a28411cc8,False,GOOD
UEI-IMD-FL-2023-0633,2023-08-26,Heavy Rains & Floods,True,2,80,129,2023-08-16,9,S1A_IW_GRDH_1SDV_20230816T124806_20230816T124831_049901_06009F_B259_COG.SAFE,18be97da-5114-4914-bcb0-892dc7a77a13,2023-08-28,2,S1A_IW_GRDH_1SDV_20230828T124742_20230828T124807_050076_06069B_A421.SAFE,301b77cf-5f07-4c1d-8dd8-538ad5f2c199,False,GOOD
